gene_id,Con_PTH_1,Con_PTH_2,Con_PTH_3,Con_PTH_4,Con_Veh_1,Con_Veh_2,Con_Veh_3,Con_Veh_4
MSTRG.3675|Milr1,227,157,221,189,125,128,70,174
MSTRG.15612|Gm44220,18,20,18,12,31,25,39,40
ENSMUSG00000102917|Gm37724,3,4,3,1,3,3,4,4
MSTRG.4253|Gm24775,0,0,0,0,0,0,0,0
ENSMUSG00000082139|Gm16463,0,0,0,0,0,0,0,0
ENSMUSG00000082189|Gm4784,2,2,0,4,0,7,3,8
ENSMUSG00000035262|Amh,11,24,9,12,2,7,0,14
MSTRG.15934|RP24-377D18.5,2,1,1,1,0,3,1,2
ENSMUSG00000097281|Gm26685,0,0,0,0,0,0,0,0
ENSMUSG00000079451|Tmprss11g,0,0,0,0,0,0,0,0
ENSMUSG00000102897|Gm37853,0,0,0,0,0,0,0,0
ENSMUSG00000099551|Gm28072,0,0,0,0,0,0,0,0
ENSMUSG00000109387|RP24-63H14.3,0,0,0,0,0,0,0,0
MSTRG.13387|Gm44363,0,0,0,0,0,0,0,0
MSTRG.8976|Gm25482,0,0,0,0,0,0,0,0
ENSMUSG00000088980|Mir669m-2,0,0,0,0,0,0,0,0
ENSMUSG00000088976|Gm23759,0,0,0,0,0,0,0,0
ENSMUSG00000102208|Gm32033,0,0,0,0,0,0,0,0
ENSMUSG00000083948|Gm7158,0,0,0,0,0,0,0,0
MSTRG.15405|Gm26640,7,0,0,7,0,0,0,0
MSTRG.1597|Snord100,20,24,20,23,10,14,17,16
MSTRG.18590|9530085P06Rik,0,0,0,0,0,0,5,0
ENSMUSG00000101495|Gm28912,0,0,0,0,0,0,0,0
ENSMUSG00000070933|Speer4d,0,0,0,0,0,0,0,0
MSTRG.11731|Gm17225,0,5,0,0,0,0,0,0
ENSMUSG00000015365|Mov10l1,0,0,0,0,0,0,0,0
MSTRG.5244|Gm15327,0,2,0,0,0,0,0,2
ENSMUSG00000082574|Olfr1268-ps1,0,0,0,0,0,0,0,0
ENSMUSG00000087946|Gm24248,0,0,0,0,0,0,0,0
ENSMUSG00000097118|Gm17514,0,0,0,0,0,0,0,0
ENSMUSG00000065604|Mir29b-1,0,0,0,0,0,0,0,0
ENSMUSG00000102513|Gm32347,0,0,0,0,0,0,0,0
ENSMUSG00000104638|Gm43716,0,0,0,0,0,0,0,0
MSTRG.7865|Efna5,3632,1908,2287,2685,2872,3204,3347,2897
ENSMUSG00000107651|Gm44166,0,0,0,0,0,0,0,0
MSTRG.2277|Mir26a-2,1,1,1,1,1,1,1,1
ENSMUSG00000025945|Crygf,0,0,0,0,0,0,0,0
ENSMUSG00000098443|Mir7681,0,0,0,0,0,0,0,0
MSTRG.15316|Fam13a,162,101,140,108,246,310,287,295
ENSMUSG00000027431|Scp2d1,0,0,0,0,0,0,0,0
ENSMUSG00000102470|Gm37244,0,0,0,0,0,0,0,0
MSTRG.9080|Rps12-ps3,26431,33233,45158,29391,20248,19148,22401,23098
ENSMUSG00000081298|Gm14622,0,0,0,0,0,0,0,0
MSTRG.1333|H3f3aos,9,10,15,13,28,24,2,15
MSTRG.7628|H2-D1,33180,16447,20116,24112,25139,22849,24953,25747
MSTRG.14201|Mir701,0,0,0,0,0,0,0,0
MSTRG.14670|Znhit1,1468,1116,1159,1106,1362,1005,1237,1262
ENSMUSG00000104592|Gm42721,0,0,0,0,0,0,0,0
MSTRG.5788|Fndc3a,4536,2838,3355,3649,3886,3844,4032,4176
ENSMUSG00000093988|Gm24861,0,0,0,0,0,0,0,0
ENSMUSG00000065882|n-R5s168,0,0,0,0,0,0,0,0
ENSMUSG00000108337|RP23-32A8.12,0,0,0,0,0,0,0,0
MSTRG.12723|Gm12931,0,0,0,0,0,0,0,0
ENSMUSG00000086593|Gm16548,0,0,0,0,0,0,0,0
ENSMUSG00000000094|Tbx4,11,14,27,19,29,9,29,45
MSTRG.7855|Tnfsf9,83,55,100,64,26,22,31,46
MSTRG.14015|2010109A12Rik,7,8,6,0,5,2,3,3
MSTRG.12858|Rpa2,896,441,567,482,858,689,731,945
ENSMUSG00000094184|Mir743b,0,0,0,0,0,0,0,0
MSTRG.3016|Pelp1,2063,1597,1553,1764,1754,1664,1789,1852
MSTRG.5152|Enc1,5552,3390,4347,5207,2814,2972,3013,3325
MSTRG.1158|Sft2d2,2118,1249,1484,1703,2515,2567,2872,2753
ENSMUSG00000101496|Gm8885,7,14,11,6,9,13,6,11
ENSMUSG00000083884|Gm15388,0,0,0,0,0,0,0,0
ENSMUSG00000094606|Vmn2r50,0,0,0,0,0,0,0,0
ENSMUSG00000098979|Gm27544,0,0,0,0,0,0,0,0
ENSMUSG00000081348|Gm13878,0,0,0,0,0,0,0,0
ENSMUSG00000071858|Gm94,0,0,0,0,0,0,0,0
ENSMUSG00000081436|Gm5912,9,11,12,8,17,13,9,6
MSTRG.18514|Cenpn,311,210,233,214,179,241,269,316
ENSMUSG00000083994|Gm16465,0,0,0,0,0,0,0,0
MSTRG.2163|Gm10754,0,0,0,0,0,0,0,0
ENSMUSG00000102498|Gm19445,0,0,0,0,0,0,0,0
ENSMUSG00000106219|5830416I19Rik,0,0,0,0,0,0,0,0
ENSMUSG00000101623|Gm21245,0,0,0,0,0,0,0,0
MSTRG.3456|Npepps,3545,2471,2766,3154,4541,4823,4899,4874
MSTRG.11146|Fam198b,6451,3496,4445,5268,6090,6520,7535,7401
MSTRG.6700|Snai2,605,338,487,543,2774,2983,3129,3177
MSTRG.20573|Hccs,2352,1267,1666,1991,3126,3269,3199,3239
MSTRG.12369|Gm11245,0,0,0,0,0,0,0,0
MSTRG.7550|Rps28,5953,4902,6385,5375,4942,3876,3732,3296
ENSMUSG00000084318|Gm11987,0,0,0,0,0,0,0,0
ENSMUSG00000098828|Gm27283,0,0,0,0,0,0,0,0
ENSMUSG00000089162|Gm24129,0,0,0,0,0,0,0,0
ENSMUSG00000081202|Gm13220,0,0,0,0,0,0,0,0
ENSMUSG00000073962|Olfr576,0,0,0,0,0,0,0,0
ENSMUSG00000086789|Lyrm7os,0,0,0,0,0,0,0,0
ENSMUSG00000086763|Plxna4os1,0,0,0,2,0,13,6,15
ENSMUSG00000024256|Adcyap1,62,20,41,57,51,57,94,97
ENSMUSG00000055026|Gabrg3,0,9,0,3,12,5,19,26
MSTRG.8406|Napg,1641,1118,1302,1556,1462,1263,1430,1733
ENSMUSG00000089914|4930486I03Rik,0,0,0,0,0,0,0,0
MSTRG.7043|Pros1,9634,4319,5715,7058,7306,7762,8440,7975
ENSMUSG00000048206|Dnajb8,0,0,0,0,0,0,0,0
ENSMUSG00000085979|Gm12055,0,0,0,0,0,0,0,0
MSTRG.2030|Nfic,9697,5673,7297,8012,18553,18358,19030,17629
MSTRG.4433|Asb2,37,12,20,45,259,168,193,136
MSTRG.5955|Rictor,1310,1175,1196,1253,1327,1185,1276,1449
MSTRG.15140|Adck2,540,362,458,341,749,663,736,840
ENSMUSG00000100762|Gm8403,0,0,0,0,0,0,0,0
MSTRG.4708|Hfe,3379,1612,2332,2239,2287,1908,2069,2065
MSTRG.20301|Pin4,175,152,204,146,108,154,134,166
ENSMUSG00000108694|RP24-549B12.1,2,4,5,2,0,3,1,0
MSTRG.7683|Gabbr1,1284,1612,1440,1496,1231,1139,1248,1248
ENSMUSG00000082197|Gm8577,0,0,0,1,0,2,0,0
MSTRG.11738|Gm15551,3,0,6,2,0,0,0,0
MSTRG.12677|Bmp8b,12,10,6,22,2,11,8,48
MSTRG.8235|Gm19035,0,0,0,0,0,0,0,0
ENSMUSG00000069971|4933402J07Rik,0,2,0,0,0,0,0,0
ENSMUSG00000064569|Gm25592,0,0,0,0,0,0,0,0
ENSMUSG00000025468|Caly,0,12,5,0,0,0,0,0
MSTRG.3174|Snord4a,0,1,1,1,1,1,0,0
MSTRG.4219|Gm24466,0,0,0,0,0,0,0,0
ENSMUSG00000084054|Gm14945,0,0,0,0,0,0,0,0
MSTRG.8470|Ier3ip1,3689,2656,3376,2999,2640,2273,2655,2756
MSTRG.14113|Gm43422,1,2,2,1,4,1,1,1
MSTRG.12072|Gm37900,0,0,2,1,0,0,0,0
ENSMUSG00000096695|Olfr196,0,0,0,0,0,0,0,0
ENSMUSG00000071770|Rhox4e,0,0,0,0,0,0,0,1
ENSMUSG00000089775|Gm16270,0,2,0,0,0,0,0,0
ENSMUSG00000097029|Gm26560,0,0,0,0,0,0,0,0
MSTRG.14946|Gm8428,0,3,0,0,0,0,0,2
ENSMUSG00000088628|Gm23315,0,0,0,0,0,0,0,0
ENSMUSG00000082814|Gm12956,0,0,0,0,0,0,0,0
MSTRG.11209|Hdgf,8398,4992,6372,7165,7446,7070,7425,7685
MSTRG.10216|Gm14024,0,0,0,0,0,0,0,0
ENSMUSG00000086772|Gm11705,0,0,4,0,0,0,0,0
MSTRG.9566|Snord90,0,0,0,0,0,0,0,0
ENSMUSG00000102735|Gm7369,0,0,0,0,0,0,0,0
ENSMUSG00000099293|Mir6366,0,0,0,0,0,0,0,0
MSTRG.14807|Gm42421,1,2,0,2,11,2,5,3
MSTRG.10339|Crnkl1,1626,796,1043,1230,1341,1352,1564,1406
ENSMUSG00000088874|Gm25863,0,0,0,0,0,0,0,0
ENSMUSG00000082982|Olfr1149-ps1,0,0,0,0,0,0,0,0
MSTRG.9534|Hspa5,52590,24176,31082,36939,32922,32265,34893,36372
ENSMUSG00000002100|Mybpc3,2,4,1,2,0,2,0,0
MSTRG.5484|Gm15765,0,0,0,0,0,0,0,0
MSTRG.9923|Trp53i11,692,390,584,560,401,443,492,435
ENSMUSG00000093827|Gm10410,0,0,0,0,0,0,0,0
ENSMUSG00000075864|Gm26002,0,0,0,0,0,0,0,0
MSTRG.9550|Dab2ip,2637,1741,1945,2222,4726,4758,5354,4655
ENSMUSG00000094464|Olfr339,0,0,0,0,0,0,0,0
ENSMUSG00000020945|Lyzl6,0,0,0,0,0,0,0,0
